City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,pervomayskoye,43.919,46.7102,20.09,39,70,1698203962,RU,1698203962
174,sisimiut,66.9395,-53.6735,-3.72,63,95,1698232142,GL,1698232142
175,tubarjal,30.4999,38.216,29.33,28,0,1698204949,SA,1698204949
176,powell,40.1578,-83.0752,17.73,62,0,1698234799,US,1698234799
177,plastun,44.7561,136.2939,11.06,71,42,1698182522,RU,1698182522
178,salinopolis,-0.6136,-47.3561,27.68,71,13,1698223768,BR,1698223768
179,naze,28.3667,129.4833,20.83,63,26,1698182896,JP,1698182896
180,bintulu,3.1667,113.0333,27.45,78,67,1698185469,MY,1698185469
181,malango,-2.9627,119.9001,20.16,95,45,1698183512,ID,1698183512
182,charlottetown,46.2352,-63.1267,10.31,90,40,1698230577,CA,1698230577
183,biryusinsk,55.9634,97.8235,3.02,97,100,1698193143,RU,1698193143
184,bonthe,7.5264,-12.505,27.08,74,100,1698215821,SL,1698215821
185,tobol'sk,58.2,68.2667,-0.22,69,100,1698200626,RU,1698200626
186,colonia,50.9333,6.95,11.57,90,75,1698214275,DE,1698214275
187,kongoussi,13.3258,-1.5347,35.93,14,74,1698213490,BF,1698213490
188,kondratovo,57.9804,56.1066,0.16,59,75,1698203509,RU,1698203509
189,brezina,33.0989,1.2608,23.36,26,1,1698214001,DZ,1698214001
190,invercargill,-46.4,168.35,16.12,71,80,1698255185,NZ,1698255185
191,palmer,42.1584,-72.3287,10.93,90,75,1698232393,US,1698232393
192,meadow lake,34.8014,-106.5436,12.44,63,99,1698240012,US,1698240012
193,terenozek,45.05,64.9833,20.86,39,99,1698199681,KZ,1698199681
194,teguise,29.0605,-13.564,24.12,50,40,1698217288,ES,1698217288
195,takab,36.4009,47.1133,16.48,36,48,1698203230,IR,1698203230
196,anadyr,64.75,177.4833,3.28,93,75,1698175839,RU,1698175839
197,phan thiet,10.9333,108.1,26.72,82,36,1698187049,VN,1698187049
198,salalah,17.0151,54.0924,30.05,70,75,1698200335,OM,1698200335
199,port alfred,-33.5906,26.891,21.21,71,10,1698203997,ZA,1698203997
200,avarua,-21.2078,-159.775,21.03,64,100,1698249613,CK,1698249613
201,ulladulla,-35.35,150.4667,11.54,87,100,1698174224,AU,1698174224
202,wailua homesteads,22.0669,-159.378,22.24,83,0,1698251867,US,1698251867
203,marilia,-22.2139,-49.9458,24.03,73,91,1698223205,BR,1698223205
204,haiku-pauwela,20.9219,-156.3051,23.36,82,0,1698251063,US,1698251063
205,vorkuta,67.5,64.0,-16.45,98,8,1698204028,RU,1698204028
206,isiro,2.7739,27.616,32.73,44,80,1698205949,CD,1698205949
207,st. john's,47.5649,-52.7093,7.1,88,50,1698228216,CA,1698228216
208,tolanaro,-25.0319,46.9987,26.37,78,63,1698199774,MG,1698199774
209,villa berthet,-27.2917,-60.4126,19.91,71,100,1698225389,AR,1698225389
210,saldanha,-33.0117,17.9442,17.48,64,10,1698206187,ZA,1698206187
211,bryne,58.7354,5.6477,8.88,63,0,1698215778,NO,1698215778
212,alfredo v. bonfil,21.0833,-86.85,26.97,78,40,1698234397,MX,1698234397
213,visby,57.6409,18.296,7.24,93,75,1698212538,SE,1698212538
